Question,Answer
หากไม่มีชื่อในทะเบียนบ้านปัจจุบัน ควรทำอย่างไรเป็นอันดับแรก? ก. ตรวจสอบสถานะทางทะเบียน ข. รวบรวมเอกสารทางทะเบียน ค. ยืนคำร้องต่อเจ้าหน้าที่ฯ ง. แจ้งผลฯ ให้ผู้ร้องทราบ,
ระบบใดใช้ในการติดตามข้อมูลการจ่ายชดเชยโรคเฉพาะสำหรับยาแก้ลมแก้เส้นในปีงบประมาณ 2567? ก. ระบบบัญชียา(ฉ2) ข. Seamless for DMIS ค. ระบบฐานข้อมูลการแพทย์ ง. ระบบสารสนเทศสุขภาพ,ข
กรณีสลายนีวไม่สำเร็จต้องมีการให้บริการกี่ครั้งขึ้นไปและต้องมีหลักฐานการเปลี่ยนแปลงวิธีการรักษา? ก. 1 ครั้ง ข. 2 ครั้ง ค. 3 ครั้ง ง. 4 ครั้ง,
คุณ Niran Chomchai (P007) : เท่าที่หนูจำได้ หนูไม่เคยยาแพ้อะไร และกินโอเมพาโซสำหรับรักษาอาการกรดไหลย้อนไป ฉันสามารถกินกับยาปฏิชีวนะได้ไหม? ก. ไม่ได้เพราะยาปฏิชีวนะจะไม่ออกฤทธิ์ ข. ไม่เพราะโอเมพาโซจะย่อยสลายยาปฏิชีวนะ ค. ทานได้ แต่ควรปรึกษาแพทย์เพื่อวิเคราะห์ตัวยาอีกที ง. ไม่ควรเพราะจะมีหายใจไม่ออกได้,
การรักษาด้วยออกซิเจนความกดสูงใช้สำหรับโรคใด? ก. โรคไตยวายเรื้อรัง ข. โรคหลอดเลือดสมอง ค. การรักษาเฉพาะโรคที่เกิดจากการดำน้ำ ง. การผ่าตัดสมอง,ค
แผนกฉุกเฉินตั้งอยู่ที่ไหน? ก. Building A ชั้น 1 ข. Building A ชั้น 3 ค. Building B ชั้น 2 ง. Building C ชั้น 2,
เงื่อนไขใหม่ 2568 สำหรับการฉีดยาเข้าวัณตาต้องใช้ระบบใดในการจัดทำบัญชีรายการยา? ก. ระบบ E-Claim ข. ระบบ Drug Catalogue ค. ระบบบัญชีออนไลน์ ง. ระบบกรมบัญชีกลาง,
ฉันอายุ 32 ปี มีอาการเหนื่อยง่าย หนาวง่าย ผมร่วง น้ำหนักเพิ่ม ควรพบหมอแผนกไหน? ก. Cardiology ข. Endocrinology ค. Dermatology ง. Nutrition,ข
การทดสอบการตั้งครรภ์มีค่าใช้จ่ายเท่าใด? ก. 75 บาท ข. 100 บาท ค. 150 บาท ง. 200 บาท,ก
การรักษาด้วยออกซิเจนความกดดันสูงในปี 2567 ครอบคลุมผู้ป่วยประเภทใด? ก. ผู้ป่วยนอกเท่านั้น ข. ผู้ป่วยในเท่านั้น ค. ผู้ป่วยนอกและผู้ป่วยใน ง. ไม่มีข้อใดถูกต้อง,ค
เมื่อใดที่ผู้ป่วยสามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติได้ทันทีหลังพบว่ามีสิทธิประกันสังคมแต่หมดอายุ? ก. เมื่อสมัครใหม่ผ่านนายจ้าง ข. เมื่อได้รับการยืนยันว่าข้อมูลคลาดเคลื่อน ค. เมื่อสิทธิประกันสังคมหมดอายุครบ 1 ปี ง. เมื่อได้รับการรักษาครั้งแรก,
ห้องไหนที่มีเครื่อง Ventilator ให้ใช้งานบ้าง? ก. R001 ข. R002 ค. R003 ง. R004,
วันจันทร์ Dr. Robert Martinez มาทำงานใช่ไหม? ก. ทำงาน ข. ไม่ทำงาน ค. ทำงานครึ่งวัน ง. ไม่แน่ใจ,
หากต้องการสอบถามเจ้าหน้าที่บริการข้อมูลเกี่ยวกับสิทธิหลักประกันสุขภาพแห่งชาติ ต้องกดหมายเลขใดหลังจากโทรเข้าสายด่วน 1330? ก. กด 1 ข. กด 2 ค. กด 0 ง. กด 3,
โปรแกรมใดที่ใช้ในเขต 1-12 สำหรับบริการแว่นตาเด็กที่มีสายตาผิดปกติ? ก. e-Claim ข. KTB ค. TMS ง. TSH,ก
สิทธิหลักประกันสุขภาพของคนไทยครอบคลุมถึงอะไรบ้าง? ก. การรักษาพยาบาล ข. การส่งเสริมสุขภาพ ค. การป้องกันโรค ง. ถูกทุกข้อ,
หน่วยบริการที่สามารถให้บริการผ่าตัดข้อเข่าเทียมต้องมีคุณสมบัติอย่างไร? ก. มีศักยภาพการบริการผ่าตัดรักษาข้อเข่าเสื่อม ข. มีศักยภาพในการรักษาโรคหัวใจ ค. มีศักยภาพในการรักษาโรคเบาหวาน ง. ทุกข้อ,ก
ขณะนี้แผนก Endocrinology กำลังเข้าคิวหมายเลขใด? ก. E020 ข. E021 ค. E022 ง. E023,
บริการใดที่มีค่าใช้จ่ายสูงสุดในกลุ่มหญิงตั้งครรภ์ตามรายการบริการ PP Fee schedule ปี 2568? ก. การทดสอบการตั้งครรภ์ ข. การตรวจวินิจฉัยทารกในครรภ์ ค. การตรวจ Quadruple test ง. Alpha-thalassemia 1 (PCR),ข
หากผู้ป่วยมะเร็งต้องการรักษาที่โรงพยาบาลเอกชน จะสามารถใช้สิทธิ Cancer Anywhere ได้หรือไม่? ก. ได้เสมอ ข. ได้หากโรงพยาบาลเข้าร่วมโครงการ Cancer Anywhere ค. ไม่ได้ ง. ได้ทุกกรณี,
การฟอกเลือดด้วยเครื่องไตเทียมต้องผ่านการพิจารณาจากใคร? ก. คณะกรรมการฯ ระดับเขต ข. แพทย์ผู้เชี่ยวชาญ ค. สมาคมโรคไตแห่งประเทศไทย ง. สำนักงานหลักประกันสุขภาพแห่งชาติ,
ใครเป็นผู้ประกอบในคณะกรรมการบริหารกองทุนหลักประกันสุขภาพในระดับท้องถิ่น? ก. ผู้บริหารสูงสุดขององค์กรปกครองส่วนท้องถิ่น ข. ผู้ทรงคุณวุฒิในท้องถิ่น ค. หัวหน้าหน่วยบริการปฐมภูมิที่จัดบริการสาธารณสุข ง. ถูกทุกข้อ,
ค่าบริการตรวจคัดกรองมะเร็งลำไส้ใหญ่และลำไส้ตรงด้วยวิธี FIT Test มีค่าใช้จ่ายเท่าใด? ก. 60 บาท ข. 65 บาท ค. 80 บาท ง. 100 บาท,
วิธีใดที่ใช้ในการตรวจคัดกรองมะเร็งปากมดลูก? ก. Pap smear ข. visual inspection with acetic acid (VIA) ค. HPV DNA Test ง. ถูกทุกข้อ,
คนไข้มีอาการแพ้ยารุนแรง (Anaphylaxis) หลังได้รับยาปฏิชีวนะ เดา ว่าอาจแพ้ Penicillin ต้องการหาข้อมูลคนไข้ด่วน แต่ไม่ทราบ ID ใช้ข้อมูลอะไรค้นหา? ก. ชื่อ-นามสกุล ข. หมายเลขโทรศัพท์ ค. ที่อยู่ ง. ทั้ง A และ B,
การรักษาโรคใดที่สามารถติดต่อสอบถามข้อมูลเพิ่มเติมได้ที่สายด่วน สปสช. 1330? ก. โรคหัวใจ ข. โรคท่อน้ำดีตีบตันแต่กำเนิด ค. โรคดำน้ำ (Decompression sickness) ง. ถูกทุกข้อ,
แผนกไหนที่ให้บริการ Stress Testing บ้าง? ก. Cardiology ข. Endocrinology ค. Emergency ง. Orthopedics,
ผู้ป่วยหมดสติ ไม่ทราบชื่อ พบบัตรประชาชนที่มีเบอร์ +66-2-555-1033 ต้องการหาข้อมูลด่วน ผู้ป่วยคือใคร? ก. คุณ Pranee Wichit (P019) ข. คุณ Wanchai Duangjai (P020) ค. คุณมาลี ศิริวรรณ (P013) ง. ไม่พบข้อมูล,
โปรแกรมใดที่ใช้ในเขต 1-12 สำหรับบริการการคัดกรองธาลัสซีเมียในสามีหรือคู่ของหญิงตั้งครรภ์? ก. โปรแกรม NRP ข. โปรแกรม KTB ค. โปรแกรม ABC ง. โปรแกรม XYZ,
หากผู้ป่วยมะเร็งต้องการไปรักษาที่หน่วยบริการเฉพาะทางต้องทำอย่างไร? ก. ไปที่หน่วยบริการได้ทันที ข. ติดต่อหน่วยบริการล่วงหน้าเพื่อจองคิว ค. ต้องขอใบส่งตัวจากต้นสังกัด ง. นัดหมายผ่านสายด่วนก่อน,
ฉันต้องการให้คุณจองคิวแผนก Cardio หมายเลขคิวแบบไหนที่ฉันได้รับ? ก. E024 ข. C046 ค. O016 ง. ER009,
นโยบายผู้ป่วยในไม่ต้องใช้ใบส่งตัวมีผลตั้งแต่วันที่เท่าใด? ก. 1 มกราคม 2564 ข. 1 มกราคม 2565 ค. 1 มกราคม 2566 ง. 1 มกราคม 2567,
การตรวจอัลตราซาวด์ในหญิงตั้งครรภ์ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้ในกรณีใด? ก. ตรวจเพื่อดูพื้นของเด็ก ข. ตรวจเพื่อยืนยันอายุครรภ์ ค. ตรวจเพื่อดูเพศของเด็ก ง. ตรวจเพื่อดูน้ำหนักของเด็ก,
การจ่ายค่าใช้จ่ายสำหรับบริการนวดมีผลตั้งแต่วันที่เท่าใด? ก. 1 มกราคม 2567 ข. 1 เมษายน 2567 ค. 1 กรกฎาคม 2567 ง. 1 กันยายน 2567,
หน่วยบริการที่สามารถให้บริการผ่าตัดฝังประสาทหูเทียมต้องได้รับการรับรองจากหน่วยงานใด? ก. กระทรวงศึกษาธิการ ข. ราชวิทยาลัยโสต นาสิก แพทย์แห่งประเทศไทย ค. กระทรวงพาณิชย์ ง. กรมการแพทย์,
การตรวจคัดกรองภาวะพร่องฮอร์โมนไทรอยด์ (TSH) ครั้งที่ 2 ควรทำเมื่อใดในเด็กเกิดก่อนกำหนด? ก. ภายใน 1 สัปดาห์หลังคลอด ข. เมื่ออายุ 2-3 สัปดาห์ ค. เมื่ออายุครบ 1 เดือน ง. เมื่ออายุครบ 6 สัปดาห์,
ประกาศสำนักงานหลักประกันสุขภาพแห่งชาติ เรื่องการจ่ายค่าใช้จ่ายเพื่อบริการสาธารณสุข กรณีบริการฟื้นฟูสมรรถภาพด้านการแพทย์ พ.ศ. 2567 มีผลบังคับใช้ตั้งแต่วันที่ใด? ก. 1 มกราคม 2567 ข. 1 ตุลาคม 2566 ค. 16 กันยายน 2567 ง. 1 มกราคม 2566,
การเจาะเลือดวัด Total cholesterol & HDL สำหรับอายุ 45-70 ปี ควรทำบ่อยแค่ไหน? ก. ทุกปี ข. ทุก 2 ปี ค. ทุก 5 ปี ง. ทุก 10 ปี,
"คำแนะนำเตอร์ 250 IU สำหรับการรักษาภาวะเลือดออกในระยะเริ่มต้นมีราคาเท่าใด? ก. 2,460 บาท ข. 3,000 บาท ค. 4,920 บาท ง. 5,000 บาท",
ค่าตรวจคัดกรองภาวะพร่องฮอร์โมนไทรอยด์ (TSH) ในเด็กแรกเกิดมีค่าใช้จ่ายเท่าใด? ก. 135 บาท ข. 350 บาท ค. 500 บาท ง. 800 บาท,
ผู้ป่วยต้องการทำ Joint Replacement Surgery ควรนัดพบแพทย์คนไหน? ก. Dr. Sarah Johnson ข. Dr. Michael Williams ค. Dr. Emily Chen ง. Dr. Robert Martinez,
โปรแกรมใดที่ใช้ในการออกรายงานผลการตรวจคัดกรองพยาธิใบไม้ตับ? ก. KTB ข. Seamless for DMIS ค. Lab Anywhere ง. ถูกทุกข้อ,
หน่วยบริการใดที่สามารถให้บริการผ่าตัดแบบไม่ค้างคืน ODS ได้? ก. หน่วยบริการทั่วไป ข. หน่วยบริการที่มีศักยภาพตามเกณฑ์การประเมินของกระทรวงสาธารณสุข ค. หน่วยบริการเอกชนเท่านั้น ง. หน่วยบริการเฉพาะทางเท่านั้น,
"เฮลิคอปเตอร์ที่มีเครื่องยนต์ 4 มีอัตราการจ่ายค่าใช้จ่ายเท่าใดต่อชั่วโมงบิน? ก. 40,000 บาท ข. 80,000 บาท ค. 120,000 บาท ง. 160,000 บาท",
หน่วยบริการใดที่สามารถให้บริการตรวจคัดกรองภาวะพร่องฮอร์โมนไทรอยด์ (TSH) ได้? ก. หน่วยบริการเอกชนเท่านั้น ข. หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ ค. โรงพยาบาลที่ผ่านการรับรองเท่านั้น ง. ทุกหน่วยบริการที่มีแผนกกุมารเวชศาสตร์,
การตรวจสอบหลังการจ่ายเรียกว่าอะไร? ก. Pre audit ข. Post audit ค. Final audit ง. Initial audit,
ขอบเขตบริการป้องกันการยุติการตั้งครรภ์ที่ไม่ปลอดภัยรวมถึงวิธีใดบ้าง? ก. การใช้ยามิฟพริสโตนและไมโซพรอสตอล ข. การใช้ระบบดูดสูญญากาศ ค. การผ่าตัดโดยวิธีศัลยกรรม ง. ถูกทุกข้อ,
ข้อใดคือกลุ่มเป้าหมายของบริการสาธารณสุขระบบทางไกลในปีงบประมาณ 2568? ก. ผู้ป่วยสิทธิ UC ข. ผู้รับบริการที่เป็นโรคเรื้อรังรายเก่า ค. ผู้ป่วยที่มีอาการฉุกเฉิน ง. ก และ ข,
"การตรวจคัดกรองไวรัสตับอักเสบซี (Anti-HCV Screening test) มีค่าใช้จ่ายเท่าใด? ก. 1,690 บาท ข. 400 บาท ค. 50 บาท ง. ไม่มีค่าใช้จ่าย",
สิทธิประโยชน์ในการตรวจหาเชื้อเอชไอวีครอบคลุมการตรวจไม่เกินกี่ครั้งต่อปีงบประมาณ? ก. 1 ครั้ง ข. 2 ครั้ง ค. 3 ครั้ง ง. 4 ครั้ง,
การตรวจคัดกรองมะเร็งปากมดลูก (Pap smear) มีอัตราจ่ายเท่าใดต่อครั้งต่อปี? ก. 100 บาท ข. 150 บาท ค. 200 บาท ง. 250 บาท,
การตรวจ HBsAg ในบริการป้องกันการติดเชื้อเอชไอวีด้วยยาต้านไวรัสมีอัตราจ่ายเท่าใดสำหรับวิธี ELISA? ก. 40 บาท ข. 70 บาท ค. 130 บาท ง. 240 บาท,
วัตถุประสงค์ของการขยายสิทธิประโยชน์ด้านบริการสุขภาพคืออะไร? ก. เพื่อเพิ่มรายได้ให้กับโรงพยาบาล ข. เพื่อให้สิทธิประโยชน์ในการเข้าถึงบริการสุขภาพที่มีอยู่ในประเทศ ค. เพื่อเพิ่มจำนวนแพทย์ในประเทศ ง. เพื่อเพิ่มจำนวนโรงพยาบาลในเขตชนบท,
คนไข้ที่มีนัดหมายวันที่ 2024-08-01 คือใคร? ก. Supan Wannakul (P004) ข. Prasert Sukjai (P005) ค. Anchalee Thanakit (P006) ง. Niran Chomchai (P007),
หลักประกันสุขภาพถ้วนหน้าของประเทศไทยครอบคลุมกี่มิติ? ก. 1 มิติ ข. 2 มิติ ค. 3 มิติ ง. 4 มิติ,
อัตราจ่ายสำหรับการฉีดยาเข้าวัณตาในเงื่อนไขใหม่ 2568 ถูกกำหนดโดยหน่วยงานใด? ก. กระทรวงสาธารณสุข ข. สำนักงานหลักประกันสุขภาพแห่งชาติ ค. กรมบัญชีกลาง ง. สำนักงานคณะกรรมการข้าราชการพลเรือน,
หมายเลขโทรศัพท์สายด่วนสำหรับสอบถามสิทธิหลักประกันสุขภาพแห่งชาติคือหมายเลขใด? ก. 1130 ข. 1230 ค. 1330 ง. 1430,
การตรวจใดที่ไม่รวมอยู่ในหลักเกณฑ์และเงื่อนไขการจ่ายสำหรับการรักษาโรคมะเร็ง? ก. การตรวจหาระยะของโรคมะเร็ง ข. การตรวจอัตรากรอง ค. การตรวจเพื่อติดตามผลการรักษา ง. การตรวจทางห้องปฏิบัติการเพื่อประกอบการส่งใช้ยารักษา,
"อัตราจ่ายสำหรับการตรวจวินิจฉัยแบบวินิจฉัยตลอดคืน (Full-night PSG) type 1 อยู่ที่เท่าใด? ก. 5,000 บาท/ครั้ง ข. 6,000 บาท/ครั้ง ค. 7,000 บาท/ครั้ง ง. 8,000 บาท/ครั้ง",
การตรวจการตั้งครรภ์ด้วยสิทธิหลักประกันสุขภาพแห่งชาติสามารถทำได้อย่างไร? ก. ตรวจเลือดเพื่อยืนยันการตั้งครรภ์ ข. ตรวจน้ำเสาวะเพื่อยืนยันการตั้งครรภ์ ค. ตรวจอัลตราซาวด์เพื่อยืนยันการตั้งครรภ์ ง. ถูกทุกข้อ,
ประกาศคณะกรรมการหลักประกันสุขภาพแห่งชาติ เกี่ยวกับการดำเนินงานและการบริหารจัดการกองทุน ประจำปีงบประมาณ พ.ศ. 2568 ประกาศ ณ วันที่เท่าใด? ก. 9 พฤษภาคม 2565 ข. 8 ตุลาคม 2567 ค. 1 มกราคม 2568 ง. 31 ธันวาคม 2568,
ผู้ป่วยมีอาการแพ้รุนแรง หลังได้รับยาระงับปวด ตรวจพบว่าได้รับ Codeine คาดว่าแพ้ Codeine ต้องหาข้อมูลผู้ป่วยที่แพ้ Codeine ในระบบ ใครแพ้? ก. P001 ข. P005 ค. P007 ง. P010,
การตรวจระดับน้ำตาลในเลือด (FPG) สำหรับผู้มีอายุ 35-59 ปี ต้องทำในสภาวะใด? ก. ก่อนอาหาร 4 ชั่วโมง ข. ก่อนอาหาร 6 ชั่วโมง ค. ก่อนอาหาร 8 ชั่วโมง ง. ก่อนอาหาร 10 ชั่วโมง,
ผู้ป่วยที่ไม่มีสิทธิรักษาพยาบาลใดๆ (สิทธิว่าง) สามารถใช้สิทธิรักษาพยาบาลต่อเนื่องได้อย่างไร? ก. ใช้สิทธิได้ในโรงพยาบาลเดิมเท่านั้น ข. ใช้สิทธิได้ในโรงพยาบาลเฉพาะทางเท่านั้น ค. ใช้สิทธิได้ทั้งโรงพยาบาลเดิมและโรงพยาบาลเฉพาะทาง ง. ไม่สามารถใช้สิทธิรักษาพยาบาลต่อเนื่องได้,
แผนกฉุกเฉินเต็ม คิว ER008 รอ มีผู้ป่วยหัวใจวายเข้ามาใหม่ ควรจัดลำดับความสำคัญอย่างไร? ก. รอตามคิว ข. ขยับขึ้นเป็นลำดับแรก ค. รอหลังคิว ER008 ง. ส่งโรงพยาบาลอื่น,
บริการตรวจคัดกรองมะเร็งเต้านมด้วยเครื่องแมมโมแกรมและอัลตราซาวด์สามารถทำได้บ่อยเพียงใด? ก. ทุกปี ข. ทุก 2 ปี ค. ทุก 5 ปี ง. ทุก 10 ปี,
"ผู้ป่วยใหญ่ 3 ราย เข้าฉุกเฉินพร้อมกัน: หัวใจวาย (อายุ 70), อุบัติเหตุ (อายุ 25), ปวดท้อง (อายุ 40) ใครควรได้รับการรักษาก่อน? ก. อายุ 25 (อุบัติเหตุ) ข. อายุ 40 (ปวดท้อง) ค. อายุ 70 (หัวใจวาย) ง. ตามลำดับมาถึง",
สปสช. ย่อมาจากอะไร? ก. สำนักงานหลักประกันสุขภาพแห่งชาติ ข. สำนักงานหลักประกันสุขภาพสำหรับคนชรา ค. สำนักป้องกันสุขภาพแห่งชาติ ง. ถูกทุกข้อ,
"การจ่ายชดเชยครั้งที่ 1 สำหรับบริการฝึกทักษะการดำรงชีวิตอิสระสำหรับคนพิการมีอัตราจ่ายเท่าใด? ก. 4,000 บาท ข. 5,000 บาท ค. 6,000 บาท ง. 7,000 บาท",
"ผมกำลังหาทางไปแผนก Cardiology มันตั้งอยู่ที่ไหน? ก. Building A, Floor 3 ข. Building B, Floor 2 ค. Building C, Floor 2 ง. Building A, Floor 1",
"บริการผ่าตัดแบบไม่ค้างคืน ODS ในปี 2567 สำหรับกรณีในเขตพื้นที่ มีอัตราจ่ายเท่าใดต่อ RW? ก. 8,000 บาท/RW ข. 8,350 บาท/RW ค. 9,600 บาท/RW ง. 10,000 บาท/RW",
การตรวจคัดกรองไวรัสตับอักเสบซีในผู้ต้องขังสามารถทำได้กี่ครั้งต่อคนต่อปี? ก. 1 ครั้ง ข. 2 ครั้ง ค. 3 ครั้ง ง. 4 ครั้ง,
ด๊อกเตอร์ Michael เข้าทำงานเวลาใด? ก. 8:00 ข. 9:00 ค. 7:00 ง. 10:00,
ในปีงบประมาณ 2568 ยาน้ำมันสารสกัดกัญชาที่มี delta-9-tetrahydrocannabinol (THC) ไม่เกิน 0.5 mg/drop ใช้ได้ในกรณีใด? ก. ผู้ป่วยมะเร็งระยะท้ายที่ได้รับการดูแลแบบประคับประคอง ข. ผู้ป่วยมะเร็ง ค. ผู้ป่วยที่มีภาวะซึมเศร้า ง. ผู้ป่วยทุกประเภท,
กลุ่มเป้าหมายสำหรับการคัดกรองธาลัสซีเมียในสามีหรือคู่ของหญิงตั้งครรภ์คือใคร? ก. สามีหรือคู่ของหญิงตั้งครรภ์ที่เป็นคนไทยทุกสิทธิการรักษาพยาบาล ข. หญิงตั้งครรภ์ที่มีอายุมากกว่า 35 ปี ค. เด็กที่มีอายุต่ำกว่า 5 ปี ง. ไม่มีข้อใดถูกต้อง,
หน่วยบริการใดที่สามารถให้บริการผ่าตัดใส่ตุ๊งอักเสบเฉียบพลันต้องผ่านการประเมินการให้บริการผ่าตัดแบบวันเดียวกลับ? ก. หน่วยบริการเอกชน ข. หน่วยบริการภาครัฐ ค. หน่วยบริการท้องถิ่น ง. หน่วยบริการเฉพาะทาง,
"ในกรณี Emergency ผู้ป่วย OPD จะได้รับการจ่ายชดเชยไม่เกินเท่าใดต่อ visit? ก. 100,000 บาท ข. 150,000 บาท ค. 200,000 บาท ง. 300,000 บาท",
สายด่วนใดที่ให้บริการประสานข้อมูลกรณีขอรับบริการรถกู้ชีพ? ก. 1506 ข. 1669 ค. 1323 ง. 1422,
สิทธิบัตรทองครอบคลุมค่ารักษาพยาบาลอะไรบ้างในโรงพยาบาล? ก. ค่ายาและเวชภัณฑ์ ข. ค่าอาหารและค่าห้องสามัญ ค. ค่ารถพยาบาล ง. ถูกทุกข้อ,
รหัสใดในประกาศ FS ที่ใช้สำหรับการฉายรังสีระหว่างการผ่าตัด (IORT)? ก. 49206 ข. 49306 ค. 49501 ง. 49603,
การให้คำปรึกษาจ่ายถุงยางอนามัยและให้คำปรึกษามีค่าใช้จ่ายเท่าใด? ก. 10 บาท ข. 50 บาท ค. 150 บาท ง. 350 บาท,
หน่วยบริการใดที่สามารถให้บริการ Home Chemo สำหรับมะเร็งลำไส้ใหญ่ที่บ้านได้? ก. หน่วยบริการที่ผ่านการประเมินศักยภาพจากกรมการแพทย์ ข. หน่วยบริการที่มีแพทย์เฉพาะทาง ค. หน่วยบริการที่มีเตียงสำรอง ง. หน่วยบริการที่มีห้องปลอดเชื้อ,
ยาทำลายพระสุเมรุใช้เพื่อฟื้นฟูอาการใด? ก. อาการปวดศีรษะ ข. อาการกล้ามเนื้ออ่อนแรงจากโรคสมอัมพฤกษ์อัมพาต ค. อาการปวดท้อง ง. อาการนอนไม่หลับ,
ช่องทางการติดต่อสำหรับโปรแกรมยา OCPA และ OCPAOLDCASE คืออะไร? ก. ocpa@mra.or.th ข. biologic@mra.or.th ค. โทรศัพท์ 080-0801651 ง. ไม่มีข้อใดถูกต้อง,
คุณกมล (P010) ถ้าเป็นหวัด ฉันควรหลีกเลี่ยงยาตัวไหนเป็นพิเศษไหม? ก. Paracetamol ข. Trimethoprim-sulfamethoxazole ค. Ibuprofen ง. Cetirizine,
หน่วยบริการใดที่สามารถให้บริการค่าพาหนะรับส่งต่อระหว่างหน่วยบริการได้? ก. หน่วยบริการในระบบประกันสังคม ข. หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ ค. หน่วยบริการเอกชนที่ได้รับอนุญาต ง. หน่วยบริการท้องถิ่นเท่านั้น,
ผู้ป่วยเป็นหญิงตั้งครรภ์ 8 สัปดาห์ มีอาการปวดท้องรุนแรง เลือดออก ต้องการแพทย์เฉพาะทาง แผนกต่อมไร้ท่อมี Dr. Williams อยู่หรือไม่? ก. อยู่ ข. ไม่อยู่ ค. อยู่ครึ่งวัน ง. ไม่แน่ใจ,
หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติที่ให้บริการต้องมีเตียงนอนตั้งแต่กี่เตียงขึ้นไป? ก. 5 เตียง ข. 10 เตียง ค. 15 เตียง ง. 20 เตียง,
การฟื้นฟูสมรรถภาพใดที่อยู่ภายใต้สิทธิบัตรทอง? ก. การฟื้นฟูสมรรถภาพร่างกายและจิตใจ ข. การฟื้นฟูสมรรถภาพทางการศึกษา ค. การฟื้นฟูสมรรถภาพทางเศรษฐกิจ ง. การฟื้นฟูสมรรถภาพทางการเงิน,
หน่วยบริการที่รับส่งต่อสามารถจัดบริการสาธารณสุขระดับใดได้? ก. ระดับปฐมภูมิเท่านั้น ข. ระดับทุติยภูมิ ตติยภูมิ หรือเฉพาะทาง ค. ระดับเฉพาะทางเท่านั้น ง. ระดับปฐมภูมิและทุติยภูมิเท่านั้น,
คนไข้ P009 มี HbA1c = 8.1% และ Fasting Glucose = 165 mg/dl กิน Metformin 850mg วันละ 2 ครั้ง แต่ยังควบคุมไม่ได้ ควรเพิ่มยาอะไร? ก. ลด Insulin ข. เพิ่ม Glipizide ค. เพิ่ม Pioglitazone ง. ปรึกษาแพทย์เฉพาะทาง,
วัคซีนบีซีจี (BCG) ควรได้รับเมื่ออายุเท่าไร? ก. แรกเกิด ข. 1 เดือน ค. 2 เดือน ง. 4 เดือน,
กลุ่มเป้าหมายใดที่สามารถรับบริการฝากครรภ์ได้ในปีงบประมาณ 2567? ก. หญิงไทยตั้งครรภ์ทุกสิทธิการรักษาพยาบาล ข. หญิงต่างชาติที่พำนักในไทย ค. หญิงผู้มีรายได้น้อย ง. หญิงวัยรุ่นที่ยังไม่บรรลุนิติภาวะ,
อัตราจ่ายค่าใช้จ่ายเพื่อบริการสาธารณสุขในกรณี OPAE ปี 2568 เป็นอย่างไร? ก. จ่ายตามรายการและอัตรา Fee Schedule ข. อาจพิจารณาปรับการจ่ายด้วยระบบคะแนน ค. ไม่มีการจ่าย ง. ถูกทั้งข้อ ก และ ข,
หมอคนไหนเป็นหัวหน้าแผนก Emergency? ก. Dr. Sarah Johnson ข. Dr. Michael Williams ค. Dr. Emily Chen ง. Dr. Robert Martinez,
หมอมิเชล เชี่ยวชาญเฉพาะทางด้านใดบ้าง? ก. Interventional Cardiology ข. Diabetes Management ค. Trauma Care ง. Joint Replacement,
เว็บไซต์ใดที่สามารถสืบค้นข้อมูลสิทธิประกันสังคมได้? ก. www.cgd.go.th ข. www.sso.go.th ค. www.niems.go.th ง. www.health.go.th,
กลุ่มเป้าหมายสำหรับบริการตรวจยีน BRCA1/BRCA2 คือใคร? ก. ผู้ที่มีอายุต่ำกว่า 18 ปี ข. ผู้ป่วยมะเร็งเต้านมที่มีความเสี่ยงสูง ค. ญาติสายตรงที่ไม่มีประวัติครอบครัวตรวจพบยีนกลายพันธุ์ ง. บุคคลทั่วไปที่ต้องการตรวจยีน,
"อัตราจ่ายสำหรับหน่วยบริการที่รับส่งต่อในย่านนวัตกรรมการแพทย์โยธีคือเท่าใดต่อ AdjRW? ก. 8,000 บาท ข. 9,600 บาท ค. 10,000 บาท ง. 12,000 บาท",
การเบิกค่าตรวจวัดระดับน้ำตาลต่อเนื่อง (CGM) สามารถเบิกได้ครั้งละไม่เกินกี่เดือนในปี 2568? ก. 1 เดือน ข. 2 เดือน ค. 3 เดือน ง. 4 เดือน,
คนไข้ P014 มีอาการผื่นคัน หลังกินยาใหม่ที่แพทย์เพิ่งจ่าย สงสัยเป็นภูมิแพ้ยา ควรทำอย่างไร? ก. หยุดยาทันที ข. ลดขนาดยา ค. เปลี่ยนยา ง. ปรึกษาแพทย์ก่อน,
หน่วยบริการประจำมีหน้าที่อะไรเพื่อการฟื้นฟูสมรรถภาพ? ก. จัดบริการสาธารณสุขระดับปฐมภูมิ ข. เป็นหน่วยต้นสังกัดของหน่วยบริการปฐมภูมิ ค. มีเครือข่ายหน่วยบริการเพื่อการส่งต่อ ง. ไม่มีข้อใดถูกต้อง,
